FID	IID	Phenotype	Amhy_Null	Amhy_Pos	Only_M	Only_F
SRR22066360	SRR22066360	2	1	-9	-9	1
SRR22066359	SRR22066359	1	2	-9	2	-9
SRR22066294	SRR22066294	2	-9	2	-9	2
SRR22066283	SRR22066283	1	-9	1	1	-9
SRR22066272	SRR22066272	2	1	-9	-9	1
SRR22066324	SRR22066324	1	2	-9	2	-9
SRR22066313	SRR22066313	-9	-9	-9	-9	-9
SRR22066267	SRR22066267	2	-9	2	-9	2
SRR22066256	SRR22066256	2	-9	2	-9	2
SRR22066245	SRR22066245	1	-9	1	1	-9
SRR22066358	SRR22066358	2	1	-9	-9	1
SRR22066347	SRR22066347	1	-9	1	1	-9
SRR22066337	SRR22066337	1	-9	1	1	-9
SRR22066336	SRR22066336	1	-9	1	1	-9
SRR22066335	SRR22066335	2	-9	2	-9	2
SRR22066334	SRR22066334	1	-9	1	1	-9
SRR22066333	SRR22066333	2	-9	2	-9	2
SRR22066297	SRR22066297	2	1	-9	-9	1
SRR22066296	SRR22066296	2	1	-9	-9	1
SRR22066295	SRR22066295	2	-9	2	-9	2
SRR22066293	SRR22066293	1	2	-9	2	-9
SRR22066292	SRR22066292	2	1	-9	-9	1
SRR22066291	SRR22066291	-9	-9	-9	-9	-9
SRR22066290	SRR22066290	2	1	-9	-9	1
SRR22066289	SRR22066289	2	1	-9	-9	1
SRR22066288	SRR22066288	2	1	-9	-9	1
SRR22066287	SRR22066287	2	1	-9	-9	1
SRR22066286	SRR22066286	2	-9	2	-9	2
SRR22066285	SRR22066285	1	2	-9	2	-9
SRR22066284	SRR22066284	2	1	-9	-9	1
SRR22066282	SRR22066282	2	1	-9	-9	1
SRR22066281	SRR22066281	-9	-9	-9	-9	-9
SRR22066280	SRR22066280	1	-9	1	1	-9
SRR22066279	SRR22066279	2	-9	2	-9	2
SRR22066278	SRR22066278	2	-9	2	-9	2
SRR22066277	SRR22066277	2	1	-9	-9	1
SRR22066276	SRR22066276	1	-9	1	1	-9
SRR22066275	SRR22066275	2	-9	2	-9	2
SRR22066274	SRR22066274	1	-9	1	1	-9
SRR22066273	SRR22066273	1	2	-9	2	-9
SRR22066271	SRR22066271	2	1	-9	-9	1
SRR22066270	SRR22066270	-9	-9	-9	-9	-9
SRR22066332	SRR22066332	-9	-9	-9	-9	-9
SRR22066331	SRR22066331	2	1	-9	-9	1
SRR22066330	SRR22066330	2	1	-9	-9	1
SRR22066329	SRR22066329	-9	-9	-9	-9	-9
SRR22066328	SRR22066328	2	-9	2	-9	2
SRR22066327	SRR22066327	2	1	-9	-9	1
SRR22066326	SRR22066326	2	-9	2	-9	2
SRR22066325	SRR22066325	2	-9	2	-9	2
SRR22066323	SRR22066323	2	-9	2	-9	2
SRR22066322	SRR22066322	1	2	-9	2	-9
SRR22066321	SRR22066321	2	-9	2	-9	2
SRR22066320	SRR22066320	1	-9	1	1	-9
SRR22066319	SRR22066319	2	1	-9	-9	1
SRR22066318	SRR22066318	2	1	-9	-9	1
SRR22066317	SRR22066317	-9	-9	-9	-9	-9
SRR22066316	SRR22066316	2	1	-9	-9	1
