Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex_phenotype,sex_genotype,SRA Study,tissue
SRR22066360,WGS,302,8433174538,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490002,Model organism or animal,2764713490,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX18047724,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-001,AST-22-001,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:03:00Z,1,AST-22-001,female,F,SRP404907,caudal fin
SRR22066359,WGS,302,8188599838,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490003,Model organism or animal,2696732766,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX18047727,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-002,AST-22-002,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:08:00Z,1,AST-22-002,male,F,SRP404907,caudal fin
SRR22066294,WGS,302,9117394496,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490004,Model organism or animal,2994455927,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX18047874,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-003,AST-22-003,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:00:00Z,1,AST-22-003,female,M,SRP404907,caudal fin
SRR22066283,WGS,302,10487187976,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490005,Model organism or animal,3452545787,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX18047897,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-004,AST-22-004,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:09:00Z,1,AST-22-004,male,M,SRP404907,caudal fin
SRR22066272,WGS,302,10875587458,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490006,Model organism or animal,3567602518,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX18047921,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-005,AST-22-005,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:24:00Z,1,AST-22-005,female,F,SRP404907,caudal fin
SRR22066324,WGS,302,8351430386,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490007,Model organism or animal,2731405306,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX18047810,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-006,AST-22-006,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:08:00Z,1,AST-22-006,male,F,SRP404907,caudal fin
SRR22066313,WGS,302,10211249368,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490008,Model organism or animal,3353630545,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX18047834,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-007,AST-22-007,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:15:00Z,1,AST-22-007,missing,M,SRP404907,caudal fin
SRR22066267,WGS,302,9322325354,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490009,Model organism or animal,3070994274,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX18047931,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-008,AST-22-008,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:08:00Z,1,AST-22-008,female,M,SRP404907,caudal fin
SRR22066256,WGS,302,5843568026,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490010,Model organism or animal,1916903473,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,intermediate,SRX18047953,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-009,AST-22-009,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T13:58:00Z,1,AST-22-009,female,M,SRP404907,caudal fin
SRR22066245,WGS,302,6728503526,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490011,Model organism or animal,2198132579,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX18047975,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-010,AST-22-010,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T14:00:00Z,1,AST-22-010,male,F,SRP404907,caudal fin
SRR22066358,WGS,302,6135722524,"Jon Mee\, Mount Royal University",PRJNA895038,SAMN31490012,Model organism or animal,2000176164,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX18047729,Canada,North America,"Canada: Alberta\, Astotin Lake",Illumina NovaSeq 6000,AST-22-011,AST-22-011,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2023-08-31T00:00:00Z,2022-10-27T13:57:00Z,1,AST-22-011,female,M,SRP404907,caudal fin
