Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex_phenotype,sex_genotype,SRA Study,tissue
SRR19221345,WGS,302,6371875954,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402686,Model organism or animal,2064545733,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285165,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI001,MUI_001,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:48:00Z,1,MUI_001,female,M,SRP375369,caudal fin
SRR19221344,WGS,302,10408873638,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402687,Model organism or animal,3387239131,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285166,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI002,MUI_002,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_002,male,M,SRP375369,caudal fin
SRR19221333,WGS,302,8105028888,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402688,Model organism or animal,3376826927,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285177,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI004,MUI_004,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:54:00Z,1,MUI_004,female,F,SRP375369,caudal fin
SRR19221322,WGS,302,5663745750,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402689,Model organism or animal,1845926676,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285188,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI005,MUI_005,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:46:00Z,1,MUI_005,female,F,SRP375369,caudal fin
SRR19221311,WGS,302,7710285594,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402690,Model organism or animal,3238267308,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285199,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI006,MUI_006,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:55:00Z,1,MUI_006,female,F,SRP375369,caudal fin
SRR19221300,WGS,302,9600523828,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402691,Model organism or animal,3127603109,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285210,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI007,MUI_007,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_007,female,F,SRP375369,caudal fin
SRR19221288,WGS,302,6669215792,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402692,Model organism or animal,2791308493,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285221,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI009,MUI_009,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:47:00Z,1,MUI_009,female,M,SRP375369,caudal fin
SRR19221268,WGS,302,8147854904,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402693,Model organism or animal,3367276583,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285231,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI010,MUI_010,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_010,female,F,SRP375369,caudal fin
SRR19221246,WGS,302,7115673264,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402694,Model organism or animal,2944137466,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285242,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI014,MUI_014,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:55:00Z,1,MUI_014,female,M,SRP375369,caudal fin
SRR19221224,WGS,302,6864022100,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402695,Model organism or animal,2874431756,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285253,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI017,MUI_017,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:01:00Z,1,MUI_017,female,M,SRP375369,caudal fin
SRR19221343,WGS,302,6330482928,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402696,Model organism or animal,2628883061,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285167,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI024,MUI_024,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:51:00Z,1,MUI_024,male,M,SRP375369,caudal fin
SRR19221342,WGS,302,7154585662,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402697,Model organism or animal,2995494269,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,unspined,SRX15285168,Canada,North America,"Canada: Alberta\, Muir Lake",HiSeq X Ten,MUI025,MUI_025,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T12:07:00Z,1,MUI_025,male,F,SRP375369,caudal fin
SRR19221341,WGS,302,10003769328,"Jon Mee\, Mount Royal University",PRJNA838068,SAMN28402698,Model organism or animal,3250411415,MOUNT ROYAL UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,spined,SRX15285169,Canada,North America,"Canada: Alberta\, Muir Lake",Illumina NovaSeq 6000,MUI026,MUI_026,PAIRED,RANDOM,GENOMIC,Culaea inconstans,ILLUMINA,2022-08-31T00:00:00Z,2022-05-16T11:56:00Z,1,MUI_026,male,F,SRP375369,caudal fin
