SRR19218228	FSH_003
SRR19218207	FSH_004
SRR19218174	FSH_005
SRR19218141	FSH_009
SRR19218224	FSH_010
SRR19218222	FSH_011
SRR19218220	FSH_013
SRR19218218	FSH_014
SRR19218227	FSH_015
SRR19218196	FSH_016
SRR19218163	FSH_018
SRR19218226	FSH_021
SRR19218223	FSH_023
SRR19218221	FSH_024
SRR19218156	FSH_025
SRR19218219	FSH_027
SRR19218217	FSH_029
SRR19218216	FSH_032
SRR19218185	FSH_033
SRR19218152	FSH_036
SRR19218225	FSH_038
SRR19218203	FSH_039
SRR19218201	FSH_041
SRR19218199	FSH_042
SRR19218197	FSH_043
SRR19218208	FSH_044
SRR19218206	FSH_056
SRR19218150	FSH_059
SRR19218205	FSH_065
SRR19218204	FSH_066
SRR19218202	FSH_067
SRR19218200	FSH_071
SRR19218198	FSH_074
SRR19218215	FSH_077
SRR19218214	FSH_079
SRR19218209	FSH_080
SRR19218213	FSH_081
SRR19218211	FSH_083
SRR19218212	FSH_091
SRR19218210	FSH_099
SRR19218145	FSH_102
SRR19218137	FSH_105
SRR19218194	SH-19-001
SRR19218165	SH-19-002
SRR19218160	SH-19-003
SRR19218155	SH-19-004
SRR19218149	SH-19-005
SRR19218144	SH-19-006
SRR19218140	SH-19-007
SRR19218136	SH-19-008
SRR19218191	SH-19-009
SRR19218164	SH-19-010
SRR19218159	SH-19-011
SRR19218154	SH-19-012
SRR19218148	SH-19-013
SRR19218143	SH-19-014
SRR19218139	SH-19-016
SRR19218135	SH-19-017
SRR19218187	SH-19-018
SRR19218162	SH-19-019
SRR19218158	SH-19-020
SRR19218153	SH-19-021
SRR19218147	SH-19-022
SRR19218142	SH-19-023
SRR19218138	SH-19-024
SRR19218134	SH-19-025
SRR19218190	SH-19-027
SRR19218186	SH-19-028
SRR19218181	SH-19-029
SRR19218178	SH-19-030
SRR19218175	SH-19-031
SRR19218171	SH-19-033
SRR19218168	SH-19-034
SRR19218193	SH-19-035
SRR19218189	SH-19-036
SRR19218184	SH-19-037
SRR19218180	SH-19-039
SRR19218177	SH-19-040
SRR19218195	SH-19-043
SRR19218182	SH-19-044
SRR19218173	SH-19-045
SRR19218170	SH-19-046
SRR19218167	SH-19-047
SRR19218192	SH-19-048
SRR19218188	SH-19-049
SRR19218183	SH-19-050
SRR19218179	SH-19-051
SRR19218176	SH-19-052
SRR19218172	SH-19-053
SRR19218169	SH-19-054
SRR19218166	SH-19-055
SRR19218161	SH-19-056
SRR19218157	SH-19-057
SRR19218151	SH-19-058
SRR19218146	SH-19-059
